0x00e19cf8;え
0x00e1a270;いきなりワンペア！
0x00e1a288;また会ったな
0x00e1a298;はじめまして
0x00e1a2a8;いい札が来ますように…
0x00e1a2c0;こ、これは…！？
0x00e1a2d8;これで勝ち確定だな
0x00e1a2f0;勝てる気がしない…
0x00e1a308;みんな降りた方がいいぞ
0x00e1a320;運が悪いなぁ…
0x00e1a330;来い来い！
0x00e1a340;慎重にいこう…
0x00e1a350;運がいいぞ！
0x00e1a360;パッとしないぜ
0x00e1a370;取りあえず様子見だな
0x00e1a388;早く決めてくれないか
0x00e1a3a0;ハッタリかますぜ！
0x00e1a3b8;早めに退散！
0x00e1a3c8;ちょっと悩み中…
0x00e1a3e0;逃げるが勝ちだな
0x00e1a3f8;キタ〜ッ！
0x00e1a408;いいね！
0x00e1a418;クソッ！
0x00e1a428;やった〜！
0x00e1a438;残念無念…
0x00e1a448;うえ〜ん
0x00e1a458;シクシク…（涙）
0x00e1a470;驚き桃の木山椒の木
0x00e1a488;しんどいわ！
0x00e1a498;あきまへんがな！
0x00e1a4b0;えらいこっちゃで！
0x00e1a4c8;もう降りようかな…
0x00e1a4e0;役ができた！
0x00e1a4f0;役はできたけど弱い…
0x00e1a508;強い役ができた！
0x00e1a520;全然そろわない…
0x00e1a538;アゲアゲ〜
0x00e1a548;選択を間違えた…
0x00e1a64c;。
0x00e1a660;。
0x00e1a670;？
0x00e1a67c;ル
0x00e1a684;ル
0x00e1a6a0;い
0x00e1a6b4;。
0x00e1a6bc;ド
0x00e1a710;回
0x00e1a7a8;…
0x00e1a7d0;き
0x00e1a80c;時
0x00e1a814;時
0x00e1a828;キングカズノコ
0x00e1a838;むっさん
0x00e1a848;あきなこ
0x00e1a858;でやでや
0x00e1a868;サクソン大佐
0x00e1a878;マシンガン下衆
0x00e1a888;マツコフ＠岐阜
0x00e1a898;でやママ
0x00e1a8a8;バーシー
0x00e1a8b8;南
0x00e1a8c4;意地桜
0x00e1a8cc;はらぺこ日和
0x00e1a8dc;阿修羅小町
0x00e1a8ec;さむらい音頭
0x00e1a8fc;故郷に錦を飾るべし
0x00e1a930;し
0x00e1a938;盛り上げ神
0x00e1a948;当店の看板男
0x00e1a958;空気を変える男
0x00e1a968;水差し野郎
0x00e1a978;音痴
0x00e1a980;未挑戦
0x00e1a9a4;無難に合いの手
0x00e1a9b4;情熱的に合いの手
0x00e1a9cc;歌う
0x00e1a9ec;T!
0x00e1aa0c;る
0x00e1aa34;j
0x00e1aa3c;？
0x00e1aa44;I
0x00e1aa5c;？？？？？
0x00e1aa78;キ
0x00e1aa7c;マグロ
0x00e1aa84;イカ
0x00e1aa8c;カレイ
0x00e1aa98;オニカサゴ
0x00e1aab0;ビ
0x00e1aab4;アナゴ
0x00e1aacc;ホオジロザメ
0x00e1aadc;ウ
0x00e1aae0;イ
0x00e1aae8;タカアシガニ
0x00e1aaf8;マダコ
0x00e1ab00;傘
0x00e1ab08;ハリセンボン
0x00e1ab1c;フナ
0x00e1ab24;コイ
0x00e1ab2c;ニシキゴイ
0x00e1ab3c;魚
0x00e1ab40;ズ
0x00e1ab48;ニジマス
0x00e1ab58;ケ
0x00e1ab9c;問
0x00e1aba4;問
0x00e1abdc;篠
0x00e1abe8;コ
0x00e1abf0;…
0x00e1abf4;…
0x00e1abfc;。
0x00e1ac14;。
0x00e1ac18;。
0x00e1ac20;。
0x00e1ac24;。
0x00e1ac2c;。
0x00e1ac34;。
0x00e1ac40;。
0x00e1ac44;。
0x00e1ac48;。
0x00e1ac50;。
0x00e1ac54;。
0x00e1ac58;。
0x00e1ac64;。
0x00e1ac6c;。
0x00e1ac74;。
0x00e1ac78;。
0x00e1ac80;ス
0x00e1aca0;い
0x00e1acf4;終了
0x00e1ad0c;ル
0x00e1ad10;ツ
0x00e1ad18;初級
0x00e1ad20;中級
0x00e1ad28;上級
0x00e1ad30;で
0x00e1ad78;か
0x00e1ad7c;よ
0x00e1ada8;よ
0x00e1adb8;も
0x00e1adbc;ー
0x00e1adc8;ば
0x00e1add4;て
0x00e1add8;ね
0x00e1ade8;ん
0x00e1adec;も
0x00e1ae10;よ
0x00e1ae14;ー
0x00e1ae18;よ
0x00e1ae20;？
0x00e1ae2c;て
0x00e1ae34;ば
0x00e1ae3c;よ
0x00e1ae40;い
0x00e1ae4c;も
0x00e1ae54;ー
0x00e1ae6c;ば
0x00e1ae78;て
0x00e1ae7c;ね
0x00e1ae9c;ん
0x00e1aea4;ば
0x00e1aeac;ね
0x00e1aec4;よ
0x00e1aecc;ろ
0x00e1aed8;ん
0x00e1aee0;も
0x00e1aef0;？
0x00e1af00;店
0x00e1af04;店
0x00e1af0c;店
0x00e1af18;店
0x00e1af24;d
0x00e1af30;点
0x00e1af40;成
0x00e1af48;い
0x00e1af50;る
0x00e1af70;る
0x00e1af78;文字詰め
0x00e1af90;か
0x00e1af98;が
0x00e1afa0;で
0x00e1afa8;と
0x00e1afb0;な
0x00e1afb8;に
0x00e1afc0;の
0x00e1afc8;は
0x00e1afd0;へ
0x00e1afd8;も
0x00e1afe0;や
0x00e1afe8;を
0x00e1aff0;組
0x00e1aff8;風
0x00e1b000;流
0x00e1b048;ポーカー
0x00e1b058;異国
0x00e1b060;ブラフ
0x00e1b068;クラブ
0x00e1b070;ダイヤ
0x00e1b078;スペード
0x00e1b088;ハート
0x00e1b090;ノーペア
0x00e1b0a0;ワンペア
0x00e1b0b0;ツーペア
0x00e1b0c0;３カード
0x00e1b0d0;ストレート
0x00e1b0e0;フラッシュ
0x00e1b0f0;フルハウス
0x00e1b100;４カード
0x00e1b110;ロイヤル
0x00e1b164;ポーン
0x00e1b16c;ナイト
0x00e1b174;ビショップ
0x00e1b184;ルーク
0x00e1b18c;ジャック
0x00e1b19c;クイーン
0x00e1b1ac;キング
0x00e1b1b4;エース
0x00e1b1bc;ジョーカー
0x00e1b1cc;ポーカー王
0x00e1b208;麻雀
0x00e1b210;東
0x00e1b218;西
0x00e1b220;北
0x00e1b228;チー
0x00e1b230;ポン
0x00e1b238;カン
0x00e1b240;マンズ
0x00e1b248;ピンズ
0x00e1b250;ソウズ
0x00e1b258;三元牌
0x00e1b260;四風牌
0x00e1b268;リーチ
0x00e1b270;ツモ
0x00e1b278;ロン
0x00e1b2c4;強者
0x00e1b2cc;王者
0x00e1b2d4;覇者
0x00e1b2dc;帝王
0x00e1b2e4;覇王
0x00e1b2ec;雀狼
0x00e1b2f4;雀将
0x00e1b2fc;雀王
0x00e1b304;雀龍
0x00e1b30c;雀神
0x00e1b340;こいこい
0x00e1b350;花札
0x00e1b358;かす
0x00e1b360;たん
0x00e1b368;たね
0x00e1b370;花見酒
0x00e1b378;月見酒
0x00e1b380;青短
0x00e1b388;赤短
0x00e1b390;猪鹿蝶
0x00e1b398;三光
0x00e1b3a0;食付
0x00e1b3a8;手四
0x00e1b3b0;雨四光
0x00e1b3b8;四光
0x00e1b3c0;五光
0x00e1b40c;序の口
0x00e1b414;序二段
0x00e1b41c;三段目
0x00e1b424;幕下
0x00e1b42c;十両
0x00e1b434;前頭
0x00e1b43c;小結
0x00e1b444;関脇
0x00e1b44c;大関
0x00e1b454;横綱
0x00e1b488;株札
0x00e1b490;ゴケ勝負
0x00e1b4a0;思案六ポウ
0x00e1b4b0;ブタ
0x00e1b4b8;ピン
0x00e1b4c0;ニソウ
0x00e1b4c8;サンタ
0x00e1b4d0;ヨツヤ
0x00e1b4d8;ゴケ
0x00e1b4e0;ロッポウ
0x00e1b4f0;ナキ
0x00e1b4f8;オイチョ
0x00e1b508;カブ
0x00e1b510;シッピン
0x00e1b520;クッピン
0x00e1b530;アラシ
0x00e1b57c;株芸人
0x00e1b584;株番人
0x00e1b58c;株達人
0x00e1b594;株鉄人
0x00e1b59c;株超人
0x00e1b5a4;株主
0x00e1b5ac;株将
0x00e1b5b4;株王
0x00e1b5bc;株龍
0x00e1b5c4;株神
0x00e1b5f8;将棋
0x00e1b600;先手
0x00e1b608;後手
0x00e1b610;居飛車
0x00e1b618;振り飛車
0x00e1b628;囲い
0x00e1b630;詰み
0x00e1b638;投了
0x00e1b640;王手
0x00e1b648;成り駒
0x00e1b650;と金
0x00e1b658;成香
0x00e1b660;成桂
0x00e1b668;成銀
0x00e1b670;竜馬
0x00e1b678;竜王
0x00e1b6c4;歩
0x00e1b6cc;香車
0x00e1b6d4;桂馬
0x00e1b6dc;銀将
0x00e1b6e4;金将
0x00e1b6ec;角行
0x00e1b6f4;飛車
0x00e1b6fc;玉将
0x00e1b704;王将
0x00e1b70c;将棋王
0x00e1b740;喜び
0x00e1b748;小さな
0x00e1b750;ねずみ
0x00e1b758;近所
0x00e1b760;貧乏
0x00e1b768;富豪
0x00e1b770;大富豪
0x00e1b778;怒り
0x00e1b780;大きな
0x00e1b788;牛
0x00e1b790;維新
0x00e1b798;哀れ
0x00e1b7a0;太った
0x00e1b7a8;虎
0x00e1b7b0;帰ってきた
0x00e1b7c0;楽しい
0x00e1b7c8;やせた
0x00e1b7d0;うさぎ
0x00e1b7d8;やさしい
0x00e1b7e8;派手
0x00e1b7f0;龍
0x00e1b7f8;悲しみ
0x00e1b800;地味
0x00e1b808;蛇
0x00e1b810;笑い
0x00e1b818;怪しい
0x00e1b820;馬
0x00e1b828;泣いた
0x00e1b830;おしゃれ
0x00e1b840;羊
0x00e1b848;驚き
0x00e1b850;さわやか
0x00e1b860;猿
0x00e1b868;愉快痛快
0x00e1b878;美しい
0x00e1b880;びっくり
0x00e1b890;鳥
0x00e1b898;幕末
0x00e1b8a0;泣き虫
0x00e1b8a8;新鮮
0x00e1b8b0;犬
0x00e1b8b8;血と汗と涙
0x00e1b8c8;怒りん坊
0x00e1b8d8;一発逆転
0x00e1b8e8;猪
0x00e1b8f0;百戦錬磨
0x00e1b900;暴れん坊
0x00e1b910;完全無欠
0x00e1b9e4;新人
0x00e1b9ec;男
0x00e1b9f4;女
0x00e1b9fc;猫
0x00e1ba04;小僧
0x00e1ba0c;田舎娘
0x00e1ba14;狸
0x00e1ba1c;たしなみ
0x00e1ba2c;看板娘
0x00e1ba34;狐
0x00e1ba3c;町人
0x00e1ba44;商人
0x00e1ba4c;鴉
0x00e1ba54;職人
0x00e1ba5c;坊主
0x00e1ba64;狼
0x00e1ba6c;浪人
0x00e1ba74;家来
0x00e1ba7c;鷹
0x00e1ba84;志士
0x00e1ba8c;武士
0x00e1ba94;美人
0x00e1ba9c;如く
0x00e1baa4;舞妓
0x00e1baac;河童
0x00e1bab4;芸者
0x00e1babc;花魁
0x00e1bac4;大入道
0x00e1bacc;姫
0x00e1bad4;鬼
0x00e1badc;忍者
0x00e1bae4;侍
0x00e1baec;殿様
0x00e1baf4;将軍
0x00e1bb88;十級
0x00e1bb90;九級
0x00e1bb98;八級
0x00e1bba0;七級
0x00e1bba8;六級
0x00e1bbb0;五級
0x00e1bbb8;四級
0x00e1bbc0;三級
0x00e1bbc8;二級
0x00e1bbd0;一級
0x00e1bbd8;初段
0x00e1bbe0;二段
0x00e1bbe8;三段
0x00e1bbf0;四段
0x00e1bbf8;五段
0x00e1bc00;六段
0x00e1bc08;七段
0x00e1bc10;八段
0x00e1bc18;九段
0x00e1bc20;最上段
0x00e1bc7c;対戦相手を募集中ですので、しばらくお待ちください。
0x00e1bcbc;対戦相手を見つける
0x00e1bcdc;このまま待ち続ける
0x00e1bcfc;ほかのゲームで遊ぶ
0x00e1bd28;次の対局を選ぶ
0x00e1bd40;次の相手を選ぶ
0x00e1bd60;通信エラーが発生しました。[n]メインメニュー画面へ戻ります。
0x00e1bdb0;ニックネームが入力されていません。[n]メインメニュー画面へ戻ります。
0x00e1be00;ニックネームが不適切です。[n]メインメニュー画面へ戻ります。
0x00e1be48;ホストから切断されました。[n]しばらくお待ち下さい。
0x00e1be88;ランキングの受信待ちです。[n]しばらくお待ち下さい。
0x00e1bec8;ランキングの受信に失敗しました。[n]賭け点選択画面へ戻ります。
0x00e1bf0c;る
0x00e1bf14;ニックネーム
0x00e1bf2c;サインインされなかったため[n]メインメニュー画面へ戻ります。
0x00e1bf74;サインアップされなかったため[n]メインメニュー画面へ戻ります。
0x00e1bfb8;「PSN」からサインアウトしました。[n]賭場ミニゲームで遊べません。[n]メインメニュー画面へ戻ります。
0x00e1c034;他のユーザーとの通信待ちです。[n]しばらくおまちください。
0x00e1c070;ルームの作成に失敗しました。[n]通信状況を確認して下さい。
0x00e1c0ac;ランキングの受信に失敗しました。[n]ランキング画面を閉じます。
0x00e1c0f0;他プレイヤーの手番を待っています。
0x00e1c124;柴犬
0x00e1c12c;黒柴
0x00e1c134;白柴
0x00e1c150;三毛
0x00e1c158;黒猫
0x00e1c160;白猫
0x00e1c17c;名前を付けて下さい
0x00e1c19c;交換しますか？
0x00e1c1b4;交換済み
0x00e1c1cc;渡せるものを何も持っていません
0x00e1c1f4;（徳が足りないようだな……）
0x00e1c21c;標準
0x00e1c224;金の舞
0x00e1c22c;新築風
0x00e1c234;愛し花
0x00e1c23c;内装D
0x00e1c244;内装E
0x00e1c268;今の台所だと作れない献立だね。[n]台所が拡張できるといいんだけど……
0x00e1c2b8;今はまだ作れない献立だね。台所を[n]「万能な台所」にまで拡張したり、誰かに料理の[n]作り方を教わったりできるといいんだけど……
0x00e1c340;材料が足りません。
0x00e1c360;－
0x00e1c36c;行き先を選んでください。左スティックの上下で選択できます。
0x00e1c3b4;第一章　土佐、脱藩
0x00e1c3cc;第二章　斎藤一という男
0x00e1c3e4;第三章　壬生狼
0x00e1c3f4;第四章　共闘
0x00e1c404;第五章　鉄の掟
0x00e1c414;第六章　池田屋事件
0x00e1c42c;第七章　二人の龍馬
0x00e1c444;第八章　狂犬吼える
0x00e1c45c;第九章　喧嘩の花道
0x00e1c474;第十章　正体
0x00e1c484;第十一章　大博打
0x00e1c49c;第十二章　京炎上
0x00e1c4b4;第十三章　龍馬暗殺
0x00e1c4cc;最終章　夜明け
0x00e1c4dc;完
0x00e1c520;%sを手に入れた
0x00e1c538;%sを失った
0x00e1c550;体力が回復した
0x00e1c568;た
0x00e1c570;経験値 : %s
0x00e1c59c;。
0x00e1c5bc;装備
0x00e1c5c8;持ち物がいっぱいです
0x00e1c5e8;幕末漫遊中
0x00e1c600;自由気ままに探索するか。[n]行きたい所に行き、やりたいことをしよう。
0x00e1c648;自由気ままに探索しよか。[n]行きたい所に行き、やりたいことをしよう。
0x00e1c690;自由気ままに探索しよっと。[n]行きたい所に行って、やりたいことをやろう。
0x00e1c6f0;●%s[n]　総プレイ時間 %d時間%02d分 /[n]　レベル %02d / 経験値 %d /[n]　所持金 %s / 賭け点 %d点[n]●バトルダンジョン[n]　解決任務 %d件 / 隊士カード %d枚[n]●アナザーライフ[n]　作物 %d種 / 魚 %d種 / 料理 %d品 / 納品 %d品
0x00e1c7c8;品
0x00e1c7d4;クリアデータ
0x00e1c7f8;売る
0x00e1c800;食べる
0x00e1c808;換える
0x00e1c810;拡大
0x00e1c818;縮小
0x00e1c820;使う
0x00e1c828;捨てる
0x00e1c830;確定
0x00e1c838;見る
0x00e1c840;貴重品
0x00e1c848;持ち物
0x00e1c850;一覧
0x00e1c858;外す
0x00e1c860;買う
0x00e1c868;確認
0x00e1c870;並べる
0x00e1c878;移す
0x00e1c880;京全図
0x00e1c888;完全武装
0x00e1c898;切り替え
0x00e1c8a8;並び替え
0x00e1c8b8;標準表示
0x00e1c8c8;降順表示
0x00e1c8d8;昇順表示
0x00e1c8e8;道具
0x00e1c8f0;逃がす
0x00e1c8f8;所持道具
0x00e1c908;整理
0x00e1c910;選択
0x00e1c918;詳細
0x00e1c920;能力確認
0x00e1c930;能力強化
0x00e1c940;アイテム
0x00e1c950;マップ選択
0x00e1c960;必要素材
0x00e1c970;全再生
0x00e1c978;回転
0x00e1c980;主人公
0x00e1c988;倉庫
0x00e1c994;自動整理
0x00e1c9a4;全選択
0x00e1c9ac;返信
0x00e1c9b4;施設詳細
0x00e1c9c4;目的地設定
0x00e1c9d4;ポーズメニュー
0x00e1c9e4;マップ
0x00e1cac8;装備なし
0x00e1cae8;%d％
0x00e1caf4;階
0x00e1cb00;アイテムを倉庫に送りました。
0x00e1cb20;一部のアイテムは個数が限界のため送れませんでした。
0x00e1cb58;武器の倉庫に空きがありません。整理をして下さい。
0x00e1cba0;。
0x00e1cba8;<Sign:6>や<Sign:4>で能力タブを切り替えられます
0x00e1cbd8;<Sign:6>と<Sign:4>でアイテムと武器を切り替えられます
0x00e1cc24;野
0x00e1cc28;町
0x00e1cc2c;街
0x00e1cc30;堀
0x00e1cc34;街
0x00e1cc3c;<Sign:0>次へ
0x00e1cc54;み
0x00e1cc64;必須
0x00e1cc6c;ケア
0x00e1cc74;ミッション
0x00e1ccc4;野盗
0x00e1cccc;無法者
0x00e1ccd4;ならず者
0x00e1cce4;黄金衆
0x00e1ccec;御陵衛士
0x00e1ccfc;新選組
0x00e1cd04;京都見廻組
0x00e1cd38;再開
0x00e1cd48;スキップ
0x00e1cd60;メニューへ
0x00e1cd78;最大連撃数
0x00e1cd88;数
0x00e1cd94;数
0x00e1cd9c;ジ
0x00e1cda4;ン
0x00e1cdb0;ヒートアクション
0x00e1cdc8;破
0x00e1cdd4;何も入っていなかった
0x00e1cdf4;持ち物を使用しますか？
0x00e1ce0c;持ち物を捨てますか？
0x00e1ce24;セーブしますか？
0x00e1ce3c;難易度を一時的に初級にしますか？
0x00e1ce64;本当に初級にしてもよろしいですか？
0x00e1ce8c;所持武器リストに空きがありません。[n]アイテムボックスに移動する武器を選択してください。
0x00e1cee4;アイテムリストに空きがありません。[n]アイテムボックスに移動するアイテムを選択してください。
0x00e1cf44;アイテムを選択していませんがよろしいですか？
0x00e1cf74;本当によろしいですか？
0x00e1cf8c;アイテム整理を完了しますか？
0x00e1cfac;目的地を設定しますか？
0x00e1cfc4;目的地を解除しますか？
0x00e1cfdc;タイトルへ戻りますか？
0x00e1cff4;中断しますか？
0x00e1d004;セーブしていないデータは消えてしまいますが、[n]本当によろしいですか？
0x00e1d04c;本当に中断してもよろしいですか？
0x00e1d074;この称号でよろしいですか？
0x00e1d094;注文依頼を中止します。よろしいですか？[n]（渡した品物は取り消されます）
0x00e1d0dc;将棋は一勝負５点です。[n]　支払いますか？
0x00e1d104;PlayStationVita側のセーブデータを[n]サーバー上にアップロードして、[n]上書き保存してもよろしいですか？
0x00e1d16c;PlayStationVita側のセーブデータを[n]サーバー上のセーブデータで[n]上書き保存してもよろしいですか？
0x00e1d1cc;PlayStation3側のセーブデータを[n]サーバー上にアップロードして、[n]上書き保存してもよろしいですか？
0x00e1d22c;PlayStation4側のセーブデータを[n]サーバー上にアップロードして、[n]上書き保存してもよろしいですか？
0x00e1d28c;サーバー側のセーブデータの方が主人公の[n]レベル（経験値）が高いですが、このまま本当に[n]アップロードして上書き保存してもよろしいですか？
0x00e1d314;サーバー側のセーブデータの方が[n]総プレイ時間が長いですが、このまま本当に[n]アップロードして上書き保存してもよろしいですか？
0x00e1d394;サーバー側のセーブデータの方が主人公の[n]レベル（経験値）が低いですが、このまま本当に[n]ダウンロードして上書き保存してもよろしいですか？
0x00e1d41c;サーバー側のセーブデータの方が[n]総プレイ時間が短いですが、このまま本当に[n]ダウンロードして上書き保存してもよろしいですか？
0x00e1d49c;連戦しますか？
0x00e1d4ac;薪割りを終了しますか？
0x00e1d4c4;かかし屋敷をやめますか？
0x00e1d4e4;体力は全回復されていますが、使用しますか？
0x00e1d514;ヒートは全回復されていますが、使用しますか？
0x00e1d544;体力とヒートは全回復されていますが、使用しますか？
0x00e1d57c;メインメニューへ戻りますか？
0x00e1d59c;屯所に戻りますか？
0x00e1d5b4;かかし屋敷メニューに戻りますか？
0x00e1d5dc;究極闘技メニューに戻りますか？
0x00e1d5fc;このニックネームでよろしいですか？
0x00e1d628;今は使う必要がありません。
0x00e1d648;ここでは使えません。
0x00e1d660;これは捨てられません。
0x00e1d678;装備中なので捨てられません。
0x00e1d698;この主人公では装備できません。
0x00e1d6b8;アイテムボックスの個数が限界です。
0x00e1d6e0;通常武器は空にして下さい。
0x00e1d700;装備スキルがありません。
0x00e1d720;は使用出来ません。
0x00e1d738;権利が無いため装備することが出来ません。
0x00e1d768;装備を変更できません。
0x00e1d780;これは移動できません。
0x00e1d798;アップロードが無事に完了しました。
0x00e1d7c0;ダウンロードが無事に完了しました。
0x00e1d7e8;ダウンロードできませんでした。[n]サーバーにセーブデータが[n]アップロードされていません。
0x00e1d840;アップロード中です。[n]電源を切らないようにしてください。[n]データが破損する可能性があります。
0x00e1d8a0;ダウンロード中です。[n]電源を切らないようにしてください。[n]データが破損する可能性があります。
0x00e1d900;通信が切断されたため[n]アップロードに失敗しました。
0x00e1d938;通信が切断されたため[n]ダウンロードに失敗しました。
0x00e1d970;ポイントが足りません。
0x00e1d988;前回、通信対戦の途中で切断されてしまったため[n]%sの番付得点から、%s点減点されました。[n]以下のような点に気をつけて、遊ぶようにして下さい。[n]・できるだけ通信状況のいい環境でプレイして下さい。[n]・充電池切れや誤操作による電源切れに注意して下さい。[n]・意図的に電源や通信を切らないようにして下さい。
0x00e1daa8;「PSN」からサインアウトしました。[n]　アップロードを使用できません。
0x00e1daf0;「PSN」からサインアウトしました。[n]　ダウンロードを使用できません。
0x00e1db38;サーバーデータを確認中です。[n]電源を切らないようにしてください。[n]データが破損する可能性があります。
0x00e1dba0;通信をキャンセルしました。
0x00e1dc28;報酬
0x00e1dc38;属性弾を装填
0x00e1dc48;解除
0x00e1dc5c;バトル中は難易度を変更することができません。
0x00e1dc94;前回、通信対戦の途中で切断されてしまったため[n]%sの番付得点から、%d点減点されました。[n]以下のような点に気をつけて、遊ぶようにして下さい。
0x00e1dd30;・できるだけ通信状況のいい環境でプレイして下さい。[n]・誤操作による電源切れや通信切断に注意して下さい。[n]・意図的に電源や通信を切らないようにして下さい。
0x00e1ddd0;おいちょかぶ
0x00e1ddf8;今隠れても見つかってしまう！
0x00e1de20;アナザーライフ
0x00e1de34;STARTボタン
0x00e1de50;ン
0x00e1de64;作付計画を立てる
0x00e1de7c;一括収穫する
0x00e1de8c;肥やしを撒く
0x00e1de9c;作付計画リセット
0x00e1dec8;作付計画をリセットしますか？
0x00e1def0;作付計画がリセットされますがよろしいですか？
0x00e1df28;し
0x00e1df2c;岡っ引きかかし
0x00e1df3c;町奉行かかし
0x00e1df4c;老中かかし
0x00e1df5c;将軍かかし
0x00e1df84;食害をちょっとだけ防ぐかかし。
0x00e1dfa4;少しだけ食害を防ぐかかし。
0x00e1dfc4;ある程度食害を防ぐかかし。
0x00e1dfe4;かなり食害を防いでくれる[n]かかし。
0x00e1e00c;完璧に食害を防ぐ最強かかし。
0x00e1e044;作付面積
0x00e1e054;栽培速度
0x00e1e064;豊作確率
0x00e1e084;作付
0x00e1e09c;置く
0x00e1e0ac;す
0x00e1e0b4;削除
0x00e1e0c4;戻す
0x00e1e0d4;取止め
0x00e1e0e4;必要区画
0x00e1e0f4;収穫期待数
0x00e1e114;普通
0x00e1e11c;速い
0x00e1e124;遅い
0x00e1e13c;害獣の被害にあった…
0x00e1e15c;収穫できる作物がありません。
0x00e1e184;%s %d%s収穫した！
0x00e1e1a4;%s %d%sか……[n]%d%s食われてしまったな……
0x00e1e1d4;%s %d%sか、まずまずだな……
0x00e1e1f4;%s %d%s！豊作だな。
0x00e1e20c;なんと%s %d%s！大豊作だな。
0x00e1e23c;%sを撒きますか？[n]（所持数%d%s）
0x00e1e25c;%sがありません。
0x00e1e274;撒いたばかりなので今は使えません。
0x00e1e2ac;気まぐれ作付
0x00e1e384;セーブ
0x00e1e38c;動
0x00e1e39c;ト
0x00e1e3a4;え
0x00e1e3a8;グ
0x00e1e3cc;。
0x00e1e3d8;。
0x00e1e3e8;。
0x00e1e3f0;。
0x00e1e3f8;。
0x00e1e458;合計
0x00e1e464;ババ
0x00e1e474;今日も遊んでくれて、どうもありがとうございます。[n]ご褒美の賭け点を手に入れましょう！
0x00e1e4cc;好きな札を選んで、めくっていってください。[n]ババをめくってしまうと、そこでゲーム終了です。
0x00e1e52c;「%s」の札だったので、%d点加算です。[n]次の札を選んでください。
0x00e1e56c;いきなりババをめくってしまいました！[n]残念ですが、1枚目でゲーム終了です。
0x00e1e5bc;残念でした。[n]ババをめくったので、ここでゲーム終了です。
0x00e1e5f4;おめでとうございます！[n]最後までババをめくらずに終わりました！
0x00e1e650;残念無念報酬
0x00e1e660;%d枚成功報酬
0x00e1e670;完璧達成報酬
0x00e1e690;%d枚目をめくれ！
0x00e1e6a8;%d枚目で失敗……
0x00e1e6c0;大成功！
0x00e1e6e8;書
0x00e1e6ec;金
0x00e1e70c;~)
0x00e1e718;る
0x00e1e720;る
0x00e1e728;む
0x00e1e738;う
0x00e1e748;プ
0x00e1e754;プ
0x00e1e764;？
0x00e1e7a0;法
0x00e1e7a8;？
0x00e1e7e8;ｵ
0x00e1e7f0;ｵ
0x00e1e7f8;ｵ
0x00e1e818;る
0x00e1e820;やめる
0x00e1e82c;る
0x00e1e834;配当
0x00e1e83c;獲得
0x00e1e858;す
0x00e1e85c;す
0x00e1e860;す
0x00e1e88c;ル
0x00e1e894;覧
0x00e1e8a4;ハ
0x00e1e8ac;ム
0x00e1e8b4;ル
0x00e1e8c8;テキサスホールデム
0x00e1e8e0;パイナップルホールデム
0x00e1e8f8;オマハホールデム
0x00e1e910;試遊練習
0x00e1e934;最初に２枚配られて[n]手札２枚と共有札５枚から[n]任意の５枚を使って、役を作り、勝負します。
0x00e1e98c;最初に３枚配られて、そこから不要な１枚を捨て[n]手札２枚と共有札５枚から[n]任意の５枚を使って、役を作り、勝負します。
0x00e1ea04;最初に４枚配られて、手札４札と共有札５枚から[n]任意の手札２枚と共有札３枚を使って[n]役を作り、勝負します。
