0x00e19c78;え
0x00e1a240;こ、これは…！？
0x00e1a258;これで勝ち確定だな
0x00e1a270;勝てる気がしない…
0x00e1a288;みんな降りた方がいいぞ
0x00e1a2a0;運が悪いなぁ…
0x00e1a2b0;来い来い！
0x00e1a2c0;慎重にいこう…
0x00e1a2d0;運がいいぞ！
0x00e1a2e0;パッとしないぜ
0x00e1a2f0;取りあえず様子見だな
0x00e1a308;早く決めてくれないか
0x00e1a320;ハッタリかますぜ！
0x00e1a338;早めに退散！
0x00e1a348;ちょっと悩み中…
0x00e1a360;逃げるが勝ちだな
0x00e1a378;キタ〜ッ！
0x00e1a388;いいね！
0x00e1a398;クソッ！
0x00e1a3a8;やった〜！
0x00e1a3b8;残念無念…
0x00e1a3c8;うえ〜ん
0x00e1a3d8;シクシク…（涙）
0x00e1a3f0;驚き桃の木山椒の木
0x00e1a408;しんどいわ！
0x00e1a418;あきまへんがな！
0x00e1a430;えらいこっちゃで！
0x00e1a448;もう降りようかな…
0x00e1a460;役ができた！
0x00e1a470;役はできたけど弱い…
0x00e1a488;強い役ができた！
0x00e1a4a0;全然そろわない…
0x00e1a4b8;アゲアゲ〜
0x00e1a4c8;選択を間違えた…
0x00e1a5cc;。
0x00e1a5e0;。
0x00e1a5f0;？
0x00e1a5fc;ル
0x00e1a604;ル
0x00e1a620;い
0x00e1a634;。
0x00e1a63c;ド
0x00e1a690;回
0x00e1a728;…
0x00e1a750;き
0x00e1a78c;時
0x00e1a794;時
0x00e1a798;…
0x00e1a7a8;キングカズノコ
0x00e1a7b8;むっさん
0x00e1a7c8;あきなこ
0x00e1a7d8;でやでや
0x00e1a7e8;サクソン大佐
0x00e1a7f8;マシンガン下衆
0x00e1a808;マツコフ＠岐阜
0x00e1a818;でやママ
0x00e1a828;バーシー
0x00e1a838;南
0x00e1a844;意地桜
0x00e1a84c;はらぺこ日和
0x00e1a85c;阿修羅小町
0x00e1a86c;さむらい音頭
0x00e1a87c;故郷に錦を飾るべし
0x00e1a8b0;し
0x00e1a8b8;盛り上げ神
0x00e1a8c8;当店の看板男
0x00e1a8d8;空気を変える男
0x00e1a8e8;水差し野郎
0x00e1a8f8;音痴
0x00e1a900;未挑戦
0x00e1a924;無難に合いの手
0x00e1a934;情熱的に合いの手
0x00e1a94c;歌う
0x00e1a98c;る
0x00e1a9bc;？
0x00e1a9dc;？？？？？
0x00e1a9f8;キ
0x00e1a9fc;マグロ
0x00e1aa04;イカ
0x00e1aa0c;カレイ
0x00e1aa18;オニカサゴ
0x00e1aa30;ビ
0x00e1aa34;アナゴ
0x00e1aa4c;ホオジロザメ
0x00e1aa5c;ウ
0x00e1aa60;イ
0x00e1aa68;タカアシガニ
0x00e1aa78;マダコ
0x00e1aa80;傘
0x00e1aa88;ハリセンボン
0x00e1aa9c;フナ
0x00e1aaa4;コイ
0x00e1aaac;ニシキゴイ
0x00e1aabc;魚
0x00e1aac0;ズ
0x00e1aac8;ニジマス
0x00e1aad8;ケ
0x00e1ab1c;問
0x00e1ab24;問
0x00e1ab5c;篠
0x00e1ab68;コ
0x00e1ab70;…
0x00e1ab74;…
0x00e1ab7c;。
0x00e1ab94;。
0x00e1ab98;。
0x00e1aba0;。
0x00e1aba4;。
0x00e1abac;。
0x00e1abb4;。
0x00e1abc0;。
0x00e1abc4;。
0x00e1abc8;。
0x00e1abd0;。
0x00e1abd4;。
0x00e1abd8;。
0x00e1abe4;。
0x00e1abec;。
0x00e1abf4;。
0x00e1abf8;。
0x00e1ac00;ス
0x00e1ac20;い
0x00e1ac74;終了
0x00e1ac8c;ル
0x00e1ac90;ツ
0x00e1ac98;初級
0x00e1aca0;中級
0x00e1aca8;上級
0x00e1acb0;で
0x00e1acf8;か
0x00e1acfc;よ
0x00e1ad28;よ
0x00e1ad38;も
0x00e1ad3c;ー
0x00e1ad48;ば
0x00e1ad54;て
0x00e1ad58;ね
0x00e1ad68;ん
0x00e1ad6c;も
0x00e1ad90;よ
0x00e1ad94;ー
0x00e1ad98;よ
0x00e1ada0;？
0x00e1adac;て
0x00e1adb4;ば
0x00e1adbc;よ
0x00e1adc0;い
0x00e1adcc;も
0x00e1add4;ー
0x00e1adec;ば
0x00e1adf8;て
0x00e1adfc;ね
0x00e1ae1c;ん
0x00e1ae24;ば
0x00e1ae2c;ね
0x00e1ae44;よ
0x00e1ae4c;ろ
0x00e1ae58;ん
0x00e1ae60;も
0x00e1ae70;？
0x00e1ae80;店
0x00e1ae84;店
0x00e1ae8c;店
0x00e1ae98;店
0x00e1aeb0;点
0x00e1aec0;成
0x00e1aec8;い
0x00e1aed0;る
0x00e1aef0;る
0x00e1aef8;文字詰め
0x00e1af10;か
0x00e1af18;が
0x00e1af20;で
0x00e1af28;と
0x00e1af30;な
0x00e1af38;に
0x00e1af40;の
0x00e1af48;は
0x00e1af50;へ
0x00e1af58;も
0x00e1af60;や
0x00e1af68;を
0x00e1af70;組
0x00e1af78;風
0x00e1af80;流
0x00e1afc8;ポーカー
0x00e1afd8;異国
0x00e1afe0;ブラフ
0x00e1afe8;クラブ
0x00e1aff0;ダイヤ
0x00e1aff8;スペード
0x00e1b008;ハート
0x00e1b010;ノーペア
0x00e1b020;ワンペア
0x00e1b030;ツーペア
0x00e1b040;３カード
0x00e1b050;ストレート
0x00e1b060;フラッシュ
0x00e1b070;フルハウス
0x00e1b080;４カード
0x00e1b090;ロイヤル
0x00e1b0e4;ポーン
0x00e1b0ec;ナイト
0x00e1b0f4;ビショップ
0x00e1b104;ルーク
0x00e1b10c;ジャック
0x00e1b11c;クイーン
0x00e1b12c;キング
0x00e1b134;エース
0x00e1b13c;ジョーカー
0x00e1b14c;ポーカー王
0x00e1b188;麻雀
0x00e1b190;東
0x00e1b198;西
0x00e1b1a0;北
0x00e1b1a8;チー
0x00e1b1b0;ポン
0x00e1b1b8;カン
0x00e1b1c0;マンズ
0x00e1b1c8;ピンズ
0x00e1b1d0;ソウズ
0x00e1b1d8;三元牌
0x00e1b1e0;四風牌
0x00e1b1e8;リーチ
0x00e1b1f0;ツモ
0x00e1b1f8;ロン
0x00e1b244;強者
0x00e1b24c;王者
0x00e1b254;覇者
0x00e1b25c;帝王
0x00e1b264;覇王
0x00e1b26c;雀狼
0x00e1b274;雀将
0x00e1b27c;雀王
0x00e1b284;雀龍
0x00e1b28c;雀神
0x00e1b2c0;こいこい
0x00e1b2d0;花札
0x00e1b2d8;かす
0x00e1b2e0;たん
0x00e1b2e8;たね
0x00e1b2f0;花見酒
0x00e1b2f8;月見酒
0x00e1b300;青短
0x00e1b308;赤短
0x00e1b310;猪鹿蝶
0x00e1b318;三光
0x00e1b320;食付
0x00e1b328;手四
0x00e1b330;雨四光
0x00e1b338;四光
0x00e1b340;五光
0x00e1b38c;序の口
0x00e1b394;序二段
0x00e1b39c;三段目
0x00e1b3a4;幕下
0x00e1b3ac;十両
0x00e1b3b4;前頭
0x00e1b3bc;小結
0x00e1b3c4;関脇
0x00e1b3cc;大関
0x00e1b3d4;横綱
0x00e1b408;株札
0x00e1b410;ゴケ勝負
0x00e1b420;思案六ポウ
0x00e1b430;ブタ
0x00e1b438;ピン
0x00e1b440;ニソウ
0x00e1b448;サンタ
0x00e1b450;ヨツヤ
0x00e1b458;ゴケ
0x00e1b460;ロッポウ
0x00e1b470;ナキ
0x00e1b478;オイチョ
0x00e1b488;カブ
0x00e1b490;シッピン
0x00e1b4a0;クッピン
0x00e1b4b0;アラシ
0x00e1b4fc;株芸人
0x00e1b504;株番人
0x00e1b50c;株達人
0x00e1b514;株鉄人
0x00e1b51c;株超人
0x00e1b524;株主
0x00e1b52c;株将
0x00e1b534;株王
0x00e1b53c;株龍
0x00e1b544;株神
0x00e1b578;将棋
0x00e1b580;先手
0x00e1b588;後手
0x00e1b590;居飛車
0x00e1b598;振り飛車
0x00e1b5a8;囲い
0x00e1b5b0;詰み
0x00e1b5b8;投了
0x00e1b5c0;王手
0x00e1b5c8;成り駒
0x00e1b5d0;と金
0x00e1b5d8;成香
0x00e1b5e0;成桂
0x00e1b5e8;成銀
0x00e1b5f0;竜馬
0x00e1b5f8;竜王
0x00e1b644;歩
0x00e1b64c;香車
0x00e1b654;桂馬
0x00e1b65c;銀将
0x00e1b664;金将
0x00e1b66c;角行
0x00e1b674;飛車
0x00e1b67c;玉将
0x00e1b684;王将
0x00e1b68c;将棋王
0x00e1b6c0;喜び
0x00e1b6c8;小さな
0x00e1b6d0;ねずみ
0x00e1b6d8;近所
0x00e1b6e0;貧乏
0x00e1b6e8;富豪
0x00e1b6f0;大富豪
0x00e1b6f8;怒り
0x00e1b700;大きな
0x00e1b708;牛
0x00e1b710;維新
0x00e1b718;哀れ
0x00e1b720;太った
0x00e1b728;虎
0x00e1b730;帰ってきた
0x00e1b740;楽しい
0x00e1b748;やせた
0x00e1b750;うさぎ
0x00e1b758;やさしい
0x00e1b768;派手
0x00e1b770;龍
0x00e1b778;悲しみ
0x00e1b780;地味
0x00e1b788;蛇
0x00e1b790;笑い
0x00e1b798;怪しい
0x00e1b7a0;馬
0x00e1b7a8;泣いた
0x00e1b7b0;おしゃれ
0x00e1b7c0;羊
0x00e1b7c8;驚き
0x00e1b7d0;さわやか
0x00e1b7e0;猿
0x00e1b7e8;愉快痛快
0x00e1b7f8;美しい
0x00e1b800;びっくり
0x00e1b810;鳥
0x00e1b818;幕末
0x00e1b820;泣き虫
0x00e1b828;新鮮
0x00e1b830;犬
0x00e1b838;血と汗と涙
0x00e1b848;怒りん坊
0x00e1b858;一発逆転
0x00e1b868;猪
0x00e1b870;百戦錬磨
0x00e1b880;暴れん坊
0x00e1b890;完全無欠
0x00e1b964;新人
0x00e1b96c;男
0x00e1b974;女
0x00e1b97c;猫
0x00e1b984;小僧
0x00e1b98c;田舎娘
0x00e1b994;狸
0x00e1b99c;たしなみ
0x00e1b9ac;看板娘
0x00e1b9b4;狐
0x00e1b9bc;町人
0x00e1b9c4;商人
0x00e1b9cc;鴉
0x00e1b9d4;職人
0x00e1b9dc;坊主
0x00e1b9e4;狼
0x00e1b9ec;浪人
0x00e1b9f4;家来
0x00e1b9fc;鷹
0x00e1ba04;志士
0x00e1ba0c;武士
0x00e1ba14;美人
0x00e1ba1c;如く
0x00e1ba24;舞妓
0x00e1ba2c;河童
0x00e1ba34;芸者
0x00e1ba3c;花魁
0x00e1ba44;大入道
0x00e1ba4c;姫
0x00e1ba54;鬼
0x00e1ba5c;忍者
0x00e1ba64;侍
0x00e1ba6c;殿様
0x00e1ba74;将軍
0x00e1bb08;十級
0x00e1bb10;九級
0x00e1bb18;八級
0x00e1bb20;七級
0x00e1bb28;六級
0x00e1bb30;五級
0x00e1bb38;四級
0x00e1bb40;三級
0x00e1bb48;二級
0x00e1bb50;一級
0x00e1bb58;初段
0x00e1bb60;二段
0x00e1bb68;三段
0x00e1bb70;四段
0x00e1bb78;五段
0x00e1bb80;六段
0x00e1bb88;七段
0x00e1bb90;八段
0x00e1bb98;九段
0x00e1bba0;最上段
0x00e1bbfc;対戦相手を募集中ですので、しばらくお待ちください。
0x00e1bc3c;対戦相手を見つける
0x00e1bc5c;このまま待ち続ける
0x00e1bc7c;ほかのゲームで遊ぶ
0x00e1bca8;次の対局を選ぶ
0x00e1bcc0;次の相手を選ぶ
0x00e1bce0;通信エラーが発生しました。[n]メインメニュー画面へ戻ります。
0x00e1bd30;ニックネームが入力されていません。[n]メインメニュー画面へ戻ります。
0x00e1bd80;ニックネームが不適切です。[n]メインメニュー画面へ戻ります。
0x00e1bdc8;ホストから切断されました。[n]しばらくお待ち下さい。
0x00e1be08;ランキングの受信待ちです。[n]しばらくお待ち下さい。
0x00e1be48;ランキングの受信に失敗しました。[n]賭け点選択画面へ戻ります。
0x00e1be8c;る
0x00e1be94;ニックネーム
0x00e1beac;サインインされなかったため[n]メインメニュー画面へ戻ります。
0x00e1bef4;サインアップされなかったため[n]メインメニュー画面へ戻ります。
0x00e1bf38;「PSN」からサインアウトしました。[n]賭場ミニゲームで遊べません。[n]メインメニュー画面へ戻ります。
0x00e1bfb4;他のユーザーとの通信待ちです。[n]しばらくおまちください。
0x00e1bff0;ルームの作成に失敗しました。[n]通信状況を確認して下さい。
0x00e1c02c;ランキングの受信に失敗しました。[n]ランキング画面を閉じます。
0x00e1c070;他プレイヤーの手番を待っています。
0x00e1c0a4;柴犬
0x00e1c0ac;黒柴
0x00e1c0b4;白柴
0x00e1c0d0;三毛
0x00e1c0d8;黒猫
0x00e1c0e0;白猫
0x00e1c0fc;名前を付けて下さい
0x00e1c11c;交換しますか？
0x00e1c134;交換済み
0x00e1c14c;渡せるものを何も持っていません
0x00e1c174;（徳が足りないようだな……）
0x00e1c19c;標準
0x00e1c1a4;金の舞
0x00e1c1ac;新築風
0x00e1c1b4;愛し花
0x00e1c1bc;内装D
0x00e1c1c4;内装E
0x00e1c1e8;今の台所だと作れない献立だね。[n]台所が拡張できるといいんだけど……
0x00e1c238;今はまだ作れない献立だね。台所を[n]「万能な台所」にまで拡張したり、誰かに料理の[n]作り方を教わったりできるといいんだけど……
0x00e1c2c0;材料が足りません。
0x00e1c2ec;行き先を選んでください。左スティックの上下で選択できます。
0x00e1c334;第一章　土佐、脱藩
0x00e1c34c;第二章　斎藤一という男
0x00e1c364;第三章　壬生狼
0x00e1c374;第四章　共闘
0x00e1c384;第五章　鉄の掟
0x00e1c394;第六章　池田屋事件
0x00e1c3ac;第七章　二人の龍馬
0x00e1c3c4;第八章　狂犬吼える
0x00e1c3dc;第九章　喧嘩の花道
0x00e1c3f4;第十章　正体
0x00e1c404;第十一章　大博打
0x00e1c41c;第十二章　京炎上
0x00e1c434;第十三章　龍馬暗殺
0x00e1c44c;最終章　夜明け
0x00e1c45c;完
0x00e1c4a0;%sを手に入れた
0x00e1c4b8;%sを失った
0x00e1c4d0;体力が回復した
0x00e1c4e8;た
0x00e1c4f0;経験値 : %s
0x00e1c51c;。
0x00e1c53c;装備
0x00e1c548;持ち物がいっぱいです
0x00e1c568;幕末漫遊中
0x00e1c580;自由気ままに探索するか。[n]行きたい所に行き、やりたいことをしよう。
0x00e1c5c8;自由気ままに探索しよか。[n]行きたい所に行き、やりたいことをしよう。
0x00e1c610;自由気ままに探索しよっと。[n]行きたい所に行って、やりたいことをやろう。
0x00e1c670;●%s[n]　総プレイ時間 %d時間%02d分 /[n]　レベル %02d / 経験値 %d /[n]　所持金 %s / 賭け点 %d点[n]●バトルダンジョン[n]　解決任務 %d件 / 隊士カード %d枚[n]●アナザーライフ[n]　作物 %d種 / 魚 %d種 / 料理 %d品 / 納品 %d品
0x00e1c748;品
0x00e1c754;クリアデータ
0x00e1c778;売る
0x00e1c780;食べる
0x00e1c788;換える
0x00e1c790;拡大
0x00e1c798;縮小
0x00e1c7a0;使う
0x00e1c7a8;捨てる
0x00e1c7b0;確定
0x00e1c7b8;見る
0x00e1c7c0;貴重品
0x00e1c7c8;持ち物
0x00e1c7d0;一覧
0x00e1c7d8;外す
0x00e1c7e0;買う
0x00e1c7e8;確認
0x00e1c7f0;並べる
0x00e1c7f8;移す
0x00e1c800;京全図
0x00e1c808;完全武装
0x00e1c818;切り替え
0x00e1c828;並び替え
0x00e1c838;標準表示
0x00e1c848;降順表示
0x00e1c858;昇順表示
0x00e1c868;道具
0x00e1c870;逃がす
0x00e1c878;所持道具
0x00e1c888;整理
0x00e1c890;選択
0x00e1c898;詳細
0x00e1c8a0;能力確認
0x00e1c8b0;能力強化
0x00e1c8c0;アイテム
0x00e1c8d0;マップ選択
0x00e1c8e0;必要素材
0x00e1c8f0;全再生
0x00e1c8f8;回転
0x00e1c900;主人公
0x00e1c908;倉庫
0x00e1c914;自動整理
0x00e1c924;全選択
0x00e1c92c;返信
0x00e1c934;施設詳細
0x00e1c944;目的地設定
0x00e1c954;ポーズメニュー
0x00e1c964;マップ
0x00e1ca48;装備なし
0x00e1ca74;階
0x00e1ca80;アイテムを倉庫に送りました。
0x00e1caa0;一部のアイテムは個数が限界のため送れませんでした。
0x00e1cad8;武器の倉庫に空きがありません。整理をして下さい。
0x00e1cb20;。
0x00e1cb28;<Sign:6>や<Sign:4>で能力タブを切り替えられます
0x00e1cb58;<Sign:6>と<Sign:4>でアイテムと武器を切り替えられます
0x00e1cba4;野
0x00e1cba8;町
0x00e1cbac;街
0x00e1cbb0;堀
0x00e1cbb4;街
0x00e1cbbc;<Sign:0>次へ
0x00e1cbd4;み
0x00e1cbe4;必須
0x00e1cbec;ケア
0x00e1cbf4;ミッション
0x00e1cc44;野盗
0x00e1cc4c;無法者
0x00e1cc54;ならず者
0x00e1cc64;黄金衆
0x00e1cc6c;御陵衛士
0x00e1cc7c;新選組
0x00e1cc84;京都見廻組
0x00e1ccb8;再開
0x00e1ccc8;スキップ
0x00e1cce0;メニューへ
0x00e1ccf8;最大連撃数
0x00e1cd08;数
0x00e1cd14;数
0x00e1cd1c;ジ
0x00e1cd24;ン
0x00e1cd30;ヒートアクション
0x00e1cd48;破
0x00e1cd54;何も入っていなかった
0x00e1cd74;持ち物を使用しますか？
0x00e1cd8c;持ち物を捨てますか？
0x00e1cda4;セーブしますか？
0x00e1cdbc;難易度を一時的に初級にしますか？
0x00e1cde4;本当に初級にしてもよろしいですか？
0x00e1ce0c;所持武器リストに空きがありません。[n]アイテムボックスに移動する武器を選択してください。
0x00e1ce64;アイテムリストに空きがありません。[n]アイテムボックスに移動するアイテムを選択してください。
0x00e1cec4;アイテムを選択していませんがよろしいですか？
0x00e1cef4;本当によろしいですか？
0x00e1cf0c;アイテム整理を完了しますか？
0x00e1cf2c;目的地を設定しますか？
0x00e1cf44;目的地を解除しますか？
0x00e1cf5c;タイトルへ戻りますか？
0x00e1cf74;中断しますか？
0x00e1cf84;セーブしていないデータは消えてしまいますが、[n]本当によろしいですか？
0x00e1cfcc;本当に中断してもよろしいですか？
0x00e1cff4;この称号でよろしいですか？
0x00e1d014;注文依頼を中止します。よろしいですか？[n]（渡した品物は取り消されます）
0x00e1d05c;将棋は一勝負５点です。[n]　支払いますか？
0x00e1d084;PlayStationVita側のセーブデータを[n]サーバー上にアップロードして、[n]上書き保存してもよろしいですか？
0x00e1d0ec;PlayStationVita側のセーブデータを[n]サーバー上のセーブデータで[n]上書き保存してもよろしいですか？
0x00e1d14c;PlayStation3側のセーブデータを[n]サーバー上にアップロードして、[n]上書き保存してもよろしいですか？
0x00e1d1ac;PlayStation4側のセーブデータを[n]サーバー上にアップロードして、[n]上書き保存してもよろしいですか？
0x00e1d20c;サーバー側のセーブデータの方が主人公の[n]レベル（経験値）が高いですが、このまま本当に[n]アップロードして上書き保存してもよろしいですか？
0x00e1d294;サーバー側のセーブデータの方が[n]総プレイ時間が長いですが、このまま本当に[n]アップロードして上書き保存してもよろしいですか？
0x00e1d314;サーバー側のセーブデータの方が主人公の[n]レベル（経験値）が低いですが、このまま本当に[n]ダウンロードして上書き保存してもよろしいですか？
0x00e1d39c;サーバー側のセーブデータの方が[n]総プレイ時間が短いですが、このまま本当に[n]ダウンロードして上書き保存してもよろしいですか？
0x00e1d41c;連戦しますか？
0x00e1d42c;薪割りを終了しますか？
0x00e1d444;かかし屋敷をやめますか？
0x00e1d464;体力は全回復されていますが、使用しますか？
0x00e1d494;ヒートは全回復されていますが、使用しますか？
0x00e1d4c4;体力とヒートは全回復されていますが、使用しますか？
0x00e1d4fc;メインメニューへ戻りますか？
0x00e1d51c;屯所に戻りますか？
0x00e1d534;かかし屋敷メニューに戻りますか？
0x00e1d55c;究極闘技メニューに戻りますか？
0x00e1d57c;このニックネームでよろしいですか？
0x00e1d5a8;今は使う必要がありません。
0x00e1d5c8;ここでは使えません。
0x00e1d5e0;これは捨てられません。
0x00e1d5f8;装備中なので捨てられません。
0x00e1d618;この主人公では装備できません。
0x00e1d638;アイテムボックスの個数が限界です。
0x00e1d660;通常武器は空にして下さい。
0x00e1d680;装備スキルがありません。
0x00e1d6a0;は使用出来ません。
0x00e1d6b8;権利が無いため装備することが出来ません。
0x00e1d6e8;装備を変更できません。
0x00e1d700;これは移動できません。
0x00e1d718;アップロードが無事に完了しました。
0x00e1d740;ダウンロードが無事に完了しました。
0x00e1d768;ダウンロードできませんでした。[n]サーバーにセーブデータが[n]アップロードされていません。
0x00e1d7c0;アップロード中です。[n]電源を切らないようにしてください。[n]データが破損する可能性があります。
0x00e1d820;ダウンロード中です。[n]電源を切らないようにしてください。[n]データが破損する可能性があります。
0x00e1d880;通信が切断されたため[n]アップロードに失敗しました。
0x00e1d8b8;通信が切断されたため[n]ダウンロードに失敗しました。
0x00e1d8f0;ポイントが足りません。
0x00e1d908;前回、通信対戦の途中で切断されてしまったため[n]%sの番付得点から、%s点減点されました。[n]以下のような点に気をつけて、遊ぶようにして下さい。[n]・できるだけ通信状況のいい環境でプレイして下さい。[n]・充電池切れや誤操作による電源切れに注意して下さい。[n]・意図的に電源や通信を切らないようにして下さい。
0x00e1da28;「PSN」からサインアウトしました。[n]　アップロードを使用できません。
0x00e1da70;「PSN」からサインアウトしました。[n]　ダウンロードを使用できません。
0x00e1dab8;サーバーデータを確認中です。[n]電源を切らないようにしてください。[n]データが破損する可能性があります。
0x00e1db20;通信をキャンセルしました。
0x00e1dba8;報酬
0x00e1dbb8;属性弾を装填
0x00e1dbc8;解除
0x00e1dbdc;バトル中は難易度を変更することができません。
0x00e1dc14;前回、通信対戦の途中で切断されてしまったため[n]%sの番付得点から、%d点減点されました。[n]以下のような点に気をつけて、遊ぶようにして下さい。
0x00e1dcb0;・できるだけ通信状況のいい環境でプレイして下さい。[n]・誤操作による電源切れや通信切断に注意して下さい。[n]・意図的に電源や通信を切らないようにして下さい。
0x00e1dd50;おいちょかぶ
0x00e1dd78;今隠れても見つかってしまう！
0x00e1dda0;アナザーライフ
0x00e1ddb4;STARTボタン
0x00e1ddd0;ン
0x00e1dde4;作付計画を立てる
0x00e1ddfc;一括収穫する
0x00e1de0c;肥やしを撒く
0x00e1de1c;作付計画リセット
0x00e1de48;作付計画をリセットしますか？
0x00e1de70;作付計画がリセットされますがよろしいですか？
0x00e1dea8;し
0x00e1deac;岡っ引きかかし
0x00e1debc;町奉行かかし
0x00e1decc;老中かかし
0x00e1dedc;将軍かかし
0x00e1df04;食害をちょっとだけ防ぐかかし。
0x00e1df24;少しだけ食害を防ぐかかし。
0x00e1df44;ある程度食害を防ぐかかし。
0x00e1df64;かなり食害を防いでくれる[n]かかし。
0x00e1df8c;完璧に食害を防ぐ最強かかし。
0x00e1dfc4;作付面積
0x00e1dfd4;栽培速度
0x00e1dfe4;豊作確率
0x00e1e004;作付
0x00e1e01c;置く
0x00e1e02c;す
0x00e1e034;削除
0x00e1e044;戻す
0x00e1e054;取止め
0x00e1e064;必要区画
0x00e1e074;収穫期待数
0x00e1e094;普通
0x00e1e09c;速い
0x00e1e0a4;遅い
0x00e1e0bc;害獣の被害にあった…
0x00e1e0dc;収穫できる作物がありません。
0x00e1e104;%s %d%s収穫した！
0x00e1e124;%s %d%sか……[n]%d%s食われてしまったな……
0x00e1e154;%s %d%sか、まずまずだな……
0x00e1e174;%s %d%s！豊作だな。
0x00e1e18c;なんと%s %d%s！大豊作だな。
0x00e1e1bc;%sを撒きますか？[n]（所持数%d%s）
0x00e1e1dc;%sがありません。
0x00e1e1f4;撒いたばかりなので今は使えません。
0x00e1e22c;気まぐれ作付
0x00e1e304;セーブ
0x00e1e30c;動
0x00e1e31c;ト
0x00e1e324;え
0x00e1e328;グ
0x00e1e34c;。
0x00e1e358;。
0x00e1e368;。
0x00e1e370;。
0x00e1e378;。
0x00e1e3d8;合計
0x00e1e3e4;ババ
0x00e1e3f4;今日も遊んでくれて、どうもありがとうございます。[n]ご褒美の賭け点を手に入れましょう！
0x00e1e44c;好きな札を選んで、めくっていってください。[n]ババをめくってしまうと、そこでゲーム終了です。
0x00e1e4ac;「%s」の札だったので、%d点加算です。[n]次の札を選んでください。
0x00e1e4ec;いきなりババをめくってしまいました！[n]残念ですが、1枚目でゲーム終了です。
0x00e1e53c;残念でした。[n]ババをめくったので、ここでゲーム終了です。
0x00e1e574;おめでとうございます！[n]最後までババをめくらずに終わりました！
0x00e1e5d0;残念無念報酬
0x00e1e5e0;%d枚成功報酬
0x00e1e5f0;完璧達成報酬
0x00e1e610;%d枚目をめくれ！
0x00e1e628;%d枚目で失敗……
0x00e1e640;大成功！
0x00e1e668;書
0x00e1e66c;金
0x00e1e698;る
0x00e1e6a0;る
0x00e1e6a8;む
0x00e1e6b8;う
0x00e1e6c8;プ
0x00e1e6d4;プ
0x00e1e6e4;？
0x00e1e720;法
0x00e1e728;？
0x00e1e768;ｵ
0x00e1e770;ｵ
0x00e1e778;ｵ
0x00e1e798;る
0x00e1e7a0;やめる
0x00e1e7ac;る
0x00e1e7b4;配当
0x00e1e7bc;獲得
0x00e1e7d8;す
0x00e1e7dc;す
0x00e1e7e0;す
0x00e1e80c;ル
0x00e1e814;覧
0x00e1e824;ハ
0x00e1e82c;ム
0x00e1e834;ル
0x00e1e848;テキサスホールデム
0x00e1e860;パイナップルホールデム
0x00e1e878;オマハホールデム
0x00e1e890;試遊練習
0x00e1e8b4;最初に２枚配られて[n]手札２枚と共有札５枚から[n]任意の５枚を使って、役を作り、勝負します。
0x00e1e90c;最初に３枚配られて、そこから不要な１枚を捨て[n]手札２枚と共有札５枚から[n]任意の５枚を使って、役を作り、勝負します。
0x00e1e984;最初に４枚配られて、手札４札と共有札５枚から[n]任意の手札２枚と共有札３枚を使って[n]役を作り、勝負します。
0x00e1e9ec;各ポーカーゲームの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1ea40;テキサス試遊練習
